,code,title,pointsR1,pointsR2
55,CW708,Law-LLB,292.0,
56,CW728,ProductDesignInnovation,246.0,
57,CW748,EarlyChildhoodEducationandCare,290.0,
58,CW758,ProfessionalSocialCarePractice,360.0,358.0
59,CW808,MediaandPublicRelations,247.0,
60,CW848,DigitalMarketingwithAnalytics,269.0,
61,CW858,SportsManagementandCoaching(optionsportfolio,700.0,
62,CW908,Business(options),272.0,
63,CW938,BusinesswithLaw,270.0,
64,CW948,Accounting,319.0,
65,PC405,SocialPoliticalandCommunityStudies,263.0,235.0
66,PC410,ArtsandHumanities(fulfilsTeachingCouncilrequ,262.0,230.0
67,PC411,EnglishandHistory(fulfilsTeachingCouncilrequ,243.0,224.0
68,CR105,ChemicalandBiopharmaceuticalEngineering,443.0,
69,CR106,SoftwareDevelopment,431.0,
70,CR108,MechanicalEngineering,434.0,
71,CR109,StructuralEngineering,396.0,
72,CR110,AutomotiveBusinessManagementandTechnology,336.0,
73,CR112,CreativeDigitalMediaatCITCrawfordCollegeof,390.0,
74,CR116,ComputerSystems,365.0,
75,CR121,MusicatCITCorkSchoolofMusic,904.0,904.0
76,CR125,PopularMusicatCITCorkSchoolofMusic,1028.0,
77,CR130,MusicalTheatreatCITCorkSchoolofMusic,525.0,
78,CR150,BusinessInformationSystems,350.0,
79,CR210,ContemporaryAppliedArt(CeramicsGlassTextile,450.0,
80,CR220,FineArtatCITCrawfordCollegeofArtandDesign,400.0,
81,CR225,PhotographywithNewMediaatCITCrawfordCollege,435.0,
82,CR305,PhysicalSciences(CommonEntry),260.0,
83,CR310,ITManagement,347.0,
84,CR320,BiomedicalScience-OfferedjointlybyCITandUC,590.0,
85,CR325,PharmaceuticalBiotechnology,466.0,
86,CR333,NutritionandHealthScience,425.0,
87,CR335,BiologicalSciences(CommonEntry),473.0,
88,CR340,AnalyticalChemistrywithQualityAssurance,327.0,
89,CR360,InstrumentEngineering,301.0,
90,CR365,EnvironmentalScienceandSustainableTechnology,262.0,
91,CR370,Agri-Biosciences,368.0,
92,CR400,Accounting,315.0,
93,CR420,Marketing,290.0,
94,CR425,InternationalBusinesswithLanguage,279.0,
95,CR430,SportandExerciseManagement,402.0,
96,CR435,CoachingScienceandSportsPedagogy,410.0,
97,CR440,MontessoriEducation,409.0,408.0
98,CR500,Engineering(CommonEntry),475.0,
99,CR510,SustainableEnergyEngineering,320.0,
100,CR520,BiomedicalEngineering,444.0,
101,CR560,ArchitecturalTechnology,375.0,
102,CR565,InteriorArchitecture,431.0,
103,CR570,QuantitySurveying,375.0,
104,CR572,ConstructionManagement,300.0,
105,CR580,ElectricalEngineering,342.0,
106,CR590,ElectronicEngineering,329.0,
107,CR600,VisualCommunicationsatCITCrawfordCollegeofA,280.0,
108,CR660,TourismManagement,246.0,
109,CR700,TheatreandDramaStudiesatCITCorkSchoolofMu,609.0,609.0
110,CR930,HomeEconomicsandBusiness,518.0,
