code,title,points_r2_2021,points_r2_2021_info,points_r2_2020,points_r2_2020_info,points_r2_2019,points_r2_2019_info
AC120,International Business,294.0,,,,234.0,
AC137,Liberal Arts,270.0,,,,252.0,
AD101,First Year Art and Design (Common Entry portfolio),,Test/Portfolio,,Test/Portfolio,550.0,Test/Portfolio
AD102,Graphic Design and Moving Image Design (portfolio),,Test/Portfolio,,Test/Portfolio,635.0,Test/Portfolio
AD103,Textile and Surface Design and Jewellery and Objec,,Test/Portfolio,,Test/Portfolio,545.0,Test/Portfolio
AD202,Education and Design or Fine Art (Second Level Tea,,Test/Portfolio,,Test/Portfolio,580.0,Test/Portfolio
AD204,Fine Art (portfolio),,Test/Portfolio,,Test/Portfolio,600.0,Test/Portfolio
AD211,Fashion Design (portfolio),679.0,Test/Portfolio,,Test/Portfolio,600.0,Test/Portfolio
AD212,Product Design (portfolio),,Test/Portfolio,,Test/Portfolio,600.0,Test/Portfolio
AD215,Visual Culture,300.0,,320.0,,300.0,
AD217,Illustration (portfolio),,Test/Portfolio,,Test/Portfolio,625.0,Test/Portfolio
AD222,Interaction Design (portfolio),,Test/Portfolio,,Test/Portfolio,657.0,Test/Portfolio
AL801,Software Design for Virtual Reality and Gaming,,,,,304.0,
AL802,Software Design in Artificial Intelligence for Clo,,,,,301.0,
AL803,Software Design for Mobile Apps and Connected Devi,,,,,309.0,
AL805,Computer Engineering for Network Infrastructure,,,,,329.0,
AL810,Quantity Surveying,,,,,307.0,
AL811,Civil Engineering,,,,,,
AL820,Mechanical and Polymer Engineering,,,,,300.0,
AL830,General Nursing,444.0,Randomly Selected,,,410.0,
AL832,Mental Health Nursing,431.0,Randomly Selected,384.0,,387.0,
AL835,Pharmacology,,,,,,
AL836,Nutrition and Health Science,,,,,352.0,
AL837,Sports Science with Exercise Physiology,,,,,351.0,
AL838,Biotechnology,,,,,302.0,
AL839,Microbiology,,,,,322.0,
AL840,Pharmaceutical Sciences,,,,,328.0,
AL841,Athletic and Rehabilitation Therapy,476.0,,,,423.0,
AL842,Bioveterinary Science,,,,,310.0,
AL843,Physical Activity and Health Science,,,,,310.0,
AL849,Culinary Entrepreneurship,,,,,,
AL850,Business,,,,,307.0,
AL851,Business and Law,,,,,301.0,
AL852,Accounting,,,,,290.0,
AL853,Accounting and Law,,,,,305.0,
AL854,Sport Management (with international placement),299.0,,299.0,,,
AL855,Hospitality Management (with international placeme,,,,,312.0,
AL857,Digital Marketing,,,,,300.0,
AL859,International Business,,,,,,
AL860,Social Care Practice,,,,,309.0,
AL861,Animation and Illustration (portfolio),,Test/Portfolio,,,615.0,Test/Portfolio
AL863,Graphic and Digital Design (portfolio),,Test/Portfolio,,,703.0,Test/Portfolio
AL864,Early Years Care and Education,,,,,307.0,
AL870,Applied Psychology,467.0,Randomly Selected,,,409.0,
AS001,Education  Home Economics and Biology - with concu,533.0,,,,456.0,Randomly Selected
AS002,Education  Home Economics and Religious Ed - with,452.0,,434.0,,400.0,Randomly Selected
AS003,Education  Home Economics and Irish - with concurr,457.0,Randomly Selected,440.0,,421.0,
AS051,Nutrition  Food and Business Management,347.0,,317.0,,337.0,
AS054,Home Economics,419.0,Randomly Selected,398.0,,387.0,
AS110,General Nursing,432.0,Randomly Selected,,,391.0,Randomly Selected
AS130,Intellectual Disability Nursing,358.0,,328.0,,317.0,
BN101,Business,,,,,252.0,
BN103,Business and Information Technology,,,,,254.0,
BN104,Computing (Information Technology),,,,,260.0,
BN107,Applied Social Studies in Social Care,,,,,300.0,
BN108,Engineering (Common Entry with Award options),,,,,271.0,
BN109,Business (Common Entry with Award options),,,,,260.0,
BN110,International Business,,,,,253.0,
BN111,Sports Management and Coaching,,,,,270.0,
BN112,Creative Digital Media,,,,,280.0,
BN113,Horticulture,,,,,289.0,
BN114,Accounting and Finance,,,,,280.0,
BN115,Community and Youth Development,,,,,250.0,
BN117,Computer Engineering in Mobile Systems,,,,,273.0,
BN118,Early Childhood Care and Education,,,,,290.0,
BN119,Digital Marketing,,,,,270.0,
BN120,Digital Forensics and Cyber Security,,,,,281.0,
BN121,Mechatronic Engineering,,,,,276.0,
BN123,"Design,Technology and Innovation",,,,,297.0,
BY001,Business,210.0,,,,,
CI101,Counselling and Psychotherapy (Limerick),,,,,276.0,
CI110,Counselling and Psychotherapy,,,,,,
CI111,Counselling and Psychotherapy with Addiction Studi,,,,,,
CI112,Counselling and Psychotherapy with Youth Studies,,,,,,
CK101,Arts - 3 years,,,,,300.0,
CK102,Social Science,431.0,,,,391.0,
