code,title,points_r1_2021,points_r1_2021_info,points_r1_2020,points_r1_2020_info,points_r1_2019,points_r1_2019_info
AC120,International Business,294.0,,209.0,,269.0,
AC137,Liberal Arts,271.0,,252.0,,275.0,
AD101,First Year Art and Design (Common Entry portfolio),554.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD102,Graphic Design and Moving Image Design (portfolio),538.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD103,Textile and Surface Design and Jewellery and Objec,505.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD202,Education and Design or Fine Art (Second Level Tea,591.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD204,Fine Art (portfolio),514.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD211,Fashion Design (portfolio),760.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD212,Product Design (portfolio),413.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD215,Visual Culture,337.0,,377.0,,338.0,
AD217,Illustration (portfolio),738.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD222,Interaction Design (portfolio),444.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AL801,Software Design for Virtual Reality and Gaming,300.0,,303.0,,328.0,
AL802,Software Design in Artificial Intelligence for Clo,313.0,,332.0,,306.0,
AL803,Software Design for Mobile Apps and Connected Devi,350.0,,337.0,,337.0,
AL805,Computer Engineering for Network Infrastructure,321.0,,333.0,,442.0,
AL810,Quantity Surveying,328.0,,319.0,,349.0,
AL811,Civil Engineering,,,320.0,,,
AL820,Mechanical and Polymer Engineering,327.0,,308.0,,358.0,
AL830,General Nursing,451.0,Randomly Selected,442.0,,429.0,
AL832,Mental Health Nursing,440.0,Randomly Selected,387.0,,403.0,
AL835,Pharmacology,356.0,,,,,
AL836,Nutrition and Health Science,346.0,,334.0,,383.0,
AL837,Sports Science with Exercise Physiology,357.0,,351.0,,392.0,
AL838,Biotechnology,324.0,,307.0,,372.0,
AL839,Microbiology,325.0,,325.0,,371.0,
AL840,Pharmaceutical Sciences,346.0,,347.0,,411.0,
AL841,Athletic and Rehabilitation Therapy,477.0,,430.0,,430.0,
AL842,Bioveterinary Science,338.0,,313.0,,366.0,
