code,title,points_r1_2021,points_r1_2021_info,points_r1_2020,points_r1_2020_info,points_r1_2019,points_r1_2019_info,points_r1_2021-2020,points_r1_2020-2019,points_r1_2021-2019,2021vs2020,2020vs2019,2021vs2019
CW568,Aerospace Engineering,371.0,,380.0,,422.0,,-9.0,-42.0,-51.0,Decrease,Decrease,Decrease
CW578,TV and Media Production,318.0,,325.0,,361.0,,-7.0,-36.0,-43.0,Decrease,Decrease,Decrease
CW708,Law - LLB,292.0,,302.0,,328.0,,-10.0,-26.0,-36.0,Decrease,Decrease,Decrease
CW728,Product Design Innovation,246.0,,252.0,,355.0,,-6.0,-103.0,-109.0,Decrease,Decrease,Decrease
CW748,Early Childhood Education and Care,290.0,,270.0,,338.0,,20.0,-68.0,-48.0,Increase,Decrease,Decrease
CW758,Professional Social Care Practice,360.0,,336.0,,319.0,,24.0,17.0,41.0,Increase,Increase,Increase
CW808,Media and Public Relations,247.0,,251.0,,307.0,,-4.0,-56.0,-60.0,Decrease,Decrease,Decrease
CW848,Digital Marketing with Analytics,269.0,,254.0,,307.0,,15.0,-53.0,-38.0,Increase,Decrease,Decrease
CW858,Sports Management and Coaching (options  portfolio,700.0,Test/Portfolio,700.0,,700.0,Test/Portfolio,0.0,0.0,0.0,No Change,No Change,No Change
CW908,Business (options),272.0,,280.0,,307.0,,-8.0,-27.0,-35.0,Decrease,Decrease,Decrease
CW938,Business with Law,270.0,,283.0,,288.0,,-13.0,-5.0,-18.0,Decrease,Decrease,Decrease
CW948,Accounting,319.0,,300.0,,408.0,,19.0,-108.0,-89.0,Increase,Decrease,Decrease
DB500,Computing,234.0,,218.0,,320.0,,16.0,-102.0,-86.0,Increase,Decrease,Decrease
DB501,Computing (Cloud Computing),,,227.0,,329.0,,,-102.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DB502,Computing (Data Analytics and Big Data),267.0,,341.0,,269.0,,-74.0,72.0,-2.0,Decrease,Increase,Decrease
DB503,Computing (Software Development),,,225.0,,282.0,,,-57.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DB504,Computing (Web and Mobile Technology),,,,,269.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DB510,Audio Production and Music Project Management,217.0,,234.0,,293.0,,-17.0,-59.0,-76.0,Decrease,Decrease,Decrease
DB512,Business Studies,243.0,,218.0,,301.0,,25.0,-83.0,-58.0,Increase,Decrease,Decrease
DB514,Business Studies (Law),239.0,,252.0,,337.0,,-13.0,-85.0,-98.0,Decrease,Decrease,Decrease
DB515,Business Studies (Human Resource Management),242.0,,244.0,,288.0,,-2.0,-44.0,-46.0,Decrease,Decrease,Decrease
DB516,Financial Services,,,,,336.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DB517,Marketing (Event Management),233.0,,238.0,,327.0,,-5.0,-89.0,-94.0,Decrease,Decrease,Decrease
DB518,Marketing (Digital Media),307.0,,,,289.0,,,,18.0,Course Ran For One Year,Course Ran For One Year,Increase
DB521,Accounting and Finance,243.0,,225.0,,271.0,,18.0,-46.0,-28.0,Increase,Decrease,Decrease
DB524,Business (Information Systems),247.0,,342.0,,402.0,,-95.0,-60.0,-155.0,Decrease,Decrease,Decrease
DB525,Marketing (Digital Media and Cloud Computing),288.0,,,,309.0,,,,-21.0,Course Ran For One Year,Course Ran For One Year,Decrease
DB526,Business (Cloud Computing),244.0,,347.0,,288.0,,-103.0,59.0,-44.0,Decrease,Increase,Decrease
DB527,Applied Social Care,254.0,,234.0,,288.0,,20.0,-54.0,-34.0,Increase,Decrease,Decrease
DB531,Marketing,288.0,,293.0,,288.0,,-5.0,5.0,0.0,Decrease,Increase,No Change
DB562,Psychology,244.0,,243.0,,310.0,,1.0,-67.0,-66.0,Increase,Decrease,Decrease
DB566,Social Science,262.0,,220.0,,308.0,,42.0,-88.0,-46.0,Increase,Decrease,Decrease
DB567,Film and Creative Media,245.0,,218.0,,295.0,,27.0,-77.0,-50.0,Increase,Decrease,Decrease
DB568,Law,254.0,,219.0,,308.0,,35.0,-89.0,-54.0,Increase,Decrease,Decrease
DB569,Business (Psychology),240.0,,252.0,,338.0,,-12.0,-86.0,-98.0,Decrease,Decrease,Decrease
DC001,Education - Early Childhood Education,445.0,,440.0,,424.0,,5.0,16.0,21.0,Increase,Increase,Increase
DC002,Education - Primary Teaching,518.0,Randomly Selected,488.0,,485.0,Randomly Selected,30.0,3.0,33.0,Increase,Increase,Increase
DC003,Education - Primary Teaching - Gaeltacht Applicant,489.0,Test/Portfolio,445.0,,473.0,Test/Portfolio,44.0,-28.0,16.0,Increase,Decrease,Increase
DC004,Education - Primary Teaching (Church of Ireland Ce,451.0,Test/Portfolio,411.0,,,Test/Portfolio,40.0,,,Increase,Course Ran For One Year,Course Ran For One Year
DC005,Education - Primary Teaching - Irish Sign Language,,,,,316.0,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DC009,Arts (Joint Honours) - Humanities,356.0,,376.0,,408.0,,-20.0,-32.0,-52.0,Decrease,Decrease,Decrease
DC010,Post Primary Teacher Education - Religious Educati,384.0,,441.0,,413.0,,-57.0,28.0,-29.0,Decrease,Increase,Decrease
DC011,Post Primary Teacher Education - Religious Educati,409.0,,412.0,,389.0,,-3.0,23.0,20.0,Decrease,Increase,Increase
DC012,Post Primary Teacher Education - Religious Educati,409.0,,378.0,,415.0,Test/Portfolio,31.0,-37.0,-6.0,Increase,Decrease,Decrease
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413.0,,419.0,,509.0,,-6.0,-90.0,-96.0,Decrease,Decrease,Decrease
DC014,BA in Jazz and Contemporary Music Performance (aud,311.0,Test/Portfolio,419.0,,590.0,Test/Portfolio,-108.0,-171.0,-279.0,Decrease,Decrease,Decrease
DC110,Business Studies International,498.0,,465.0,,462.0,,33.0,3.0,36.0,Increase,Increase,Increase
DC111,Business Studies,511.0,,488.0,,479.0,,23.0,9.0,32.0,Increase,Increase,Increase
DC112,Global Business (France),542.0,Randomly Selected,517.0,,510.0,,25.0,7.0,32.0,Increase,Increase,Increase
DC113,Global Business (Germany),484.0,,462.0,,476.0,,22.0,-14.0,8.0,Increase,Decrease,Increase
DC114,Global Business (Spain),544.0,,522.0,,543.0,,22.0,-21.0,1.0,Increase,Decrease,Increase
DC115,Accounting and Finance,544.0,,510.0,,500.0,,34.0,10.0,44.0,Increase,Increase,Increase
DC116,Global Business (USA),613.0,Randomly Selected,579.0,,589.0,,34.0,-10.0,24.0,Increase,Decrease,Increase
DC117,Aviation Management / Aviation Management with Pil,484.0,,476.0,,487.0,,8.0,-11.0,-3.0,Increase,Decrease,Decrease
DC118,Gná agus Gaeilge / Business and Irish,368.0,,359.0,,399.0,,9.0,-40.0,-31.0,Increase,Decrease,Decrease
DC119,Global Business (Canada),601.0,,564.0,,577.0,,37.0,-13.0,24.0,Increase,Decrease,Increase
DC120,Computing for Business,403.0,,357.0,,389.0,,46.0,-32.0,14.0,Increase,Decrease,Increase
DC121,Computer Science,475.0,,400.0,,418.0,,75.0,-18.0,57.0,Increase,Decrease,Increase
DC123,Data Science,501.0,,465.0,,511.0,,36.0,-46.0,-10.0,Increase,Decrease,Decrease
DC126,Actuarial Mathematics,577.0,Randomly Selected,560.0,,543.0,,17.0,17.0,34.0,Increase,Increase,Increase
DC127,Common Entry into Actuarial and Financial Mathemat,541.0,,532.0,,531.0,,9.0,1.0,10.0,Increase,Increase,Increase
DC131,Communication Studies,421.0,,407.0,,441.0,,14.0,-34.0,-20.0,Increase,Decrease,Decrease
DC132,Journalism,452.0,,429.0,,440.0,,23.0,-11.0,12.0,Increase,Decrease,Increase
DC133,Multimedia,435.0,,411.0,,451.0,,24.0,-40.0,-16.0,Increase,Decrease,Decrease
DC155,Applied Language and Translation Studies,427.0,,387.0,,430.0,,40.0,-43.0,-3.0,Increase,Decrease,Decrease
DC161,Analytical Science,498.0,,498.0,,463.0,,0.0,35.0,35.0,No Change,Increase,Increase
DC162,Chemical and Pharmaceutical Sciences,531.0,Randomly Selected,521.0,,498.0,,10.0,23.0,33.0,Increase,Increase,Increase
DC163,Chemical Sciences General Entry (Undenominated Ent,466.0,Randomly Selected,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DC166,Environmental Science and Technology,423.0,Randomly Selected,433.0,,442.0,,-10.0,-9.0,-19.0,Decrease,Decrease,Decrease
DC167,Physics with Astronomy,,,,,477.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DC168,Genetics and Cell Biology,543.0,Randomly Selected,512.0,,500.0,,31.0,12.0,43.0,Increase,Increase,Increase
DC171,Applied Physics,,,,,433.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DC173,Physics with Biomedical Sciences,,,,,458.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DC175,Physics General Entry (options),400.0,,419.0,,,,-19.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
DC180,Biological Sciences General Entry (Undenominated E,530.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DC181,Biotechnology,530.0,,499.0,,488.0,,31.0,11.0,42.0,Increase,Increase,Increase
DC190,Electronic and Computer Engineering (with choice o,488.0,,413.0,,433.0,,75.0,-20.0,55.0,Increase,Decrease,Increase
DC193,Mechatronic Engineering,490.0,,411.0,,445.0,,79.0,-34.0,45.0,Increase,Decrease,Increase
DC194,Sustainable Systems and Energy,476.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DC195,Mechanical and Manufacturing Engineering,500.0,,425.0,,444.0,,75.0,-19.0,56.0,Increase,Decrease,Increase
DC197,Biomedical Engineering,510.0,,423.0,,446.0,,87.0,-23.0,64.0,Increase,Decrease,Increase
DC200,Common Entry into Engineering (Undenominated Entry,511.0,,422.0,,444.0,,89.0,-22.0,67.0,Increase,Decrease,Increase
DC201,Common Entry into Science (Undenominated Entry),,,498.0,,477.0,,,21.0,,Course Ran For One Year,Increase,Course Ran For One Year
DC202,Sport Science and Health,511.0,,500.0,,476.0,,11.0,24.0,35.0,Increase,Increase,Increase
DC203,Science Education,462.0,,435.0,,476.0,,27.0,-41.0,-14.0,Increase,Decrease,Decrease
DC204,Athletic Therapy and Training,558.0,,522.0,,500.0,,36.0,22.0,58.0,Increase,Increase,Increase
DC205,Physical Education with Biology,565.0,,531.0,,521.0,,34.0,10.0,44.0,Increase,Increase,Increase
DC206,Physical Education with Mathematics,521.0,,499.0,,476.0,,22.0,23.0,45.0,Increase,Increase,Increase
DC207,Psychology and Mathematics,521.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DC208,Psychology,565.0,,532.0,,521.0,,33.0,11.0,44.0,Increase,Increase,Increase
DC209,Health and Society,477.0,,465.0,,440.0,,12.0,25.0,37.0,Increase,Increase,Increase
DC210,Psychology and Disruptive Technologies,506.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DC215,General Nursing,456.0,Randomly Selected,454.0,,443.0,,2.0,11.0,13.0,Increase,Increase,Increase
DC216,Mental Health Nursing,420.0,,418.0,,389.0,,2.0,29.0,31.0,Increase,Increase,Increase
DC217,Intellectual Disability Nursing,382.0,,370.0,,362.0,,12.0,8.0,20.0,Increase,Increase,Increase
DC218,Children`s and General Nursing (Integrated),521.0,Randomly Selected,500.0,,480.0,,21.0,20.0,41.0,Increase,Increase,Increase
DC230,Economics  Politics and Law,431.0,,435.0,,431.0,,-4.0,4.0,0.0,Decrease,Increase,No Change
DC231,International Relations,398.0,,397.0,,445.0,,1.0,-48.0,-47.0,Increase,Decrease,Decrease
DC232,Law and Society (BCL),469.0,,466.0,,487.0,,3.0,-21.0,-18.0,Increase,Decrease,Decrease
DC235,Education and Training - Daytime and Flexible Deli,302.0,,309.0,,327.0,,-7.0,-18.0,-25.0,Decrease,Decrease,Decrease
DC238,Social Sciences and Cultural Innovation,387.0,,377.0,,388.0,,10.0,-11.0,-1.0,Increase,Decrease,Decrease
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,430.0,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DC240,Marketing  Innovation and Technology,499.0,,476.0,,474.0,,23.0,2.0,25.0,Increase,Increase,Increase
DC241,Digital Business and Innovation,509.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DC291,Arts (Joint Honours) - Media Studies,350.0,,376.0,,392.0,,-26.0,-16.0,-42.0,Decrease,Decrease,Decrease
DC292,Arts (Joint Honours) - Law,400.0,,403.0,,388.0,,-3.0,15.0,12.0,Decrease,Increase,Increase
DC293,Arts (Joint Honours) - International Languages,379.0,,377.0,,400.0,,2.0,-23.0,-21.0,Increase,Decrease,Decrease
DC294,Climate and Environmental Sustainability,475.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DC295,Arts (Joint Honours) - Politics,349.0,,376.0,,387.0,,-27.0,-11.0,-38.0,Decrease,Decrease,Decrease
DK810,Accounting and Finance,307.0,,305.0,,391.0,,2.0,-86.0,-84.0,Increase,Decrease,Decrease
DK816,Business Studies,301.0,,300.0,,357.0,,1.0,-57.0,-56.0,Increase,Decrease,Decrease
DK820,Computing in Games Development,309.0,,311.0,,369.0,,-2.0,-58.0,-60.0,Decrease,Decrease,Decrease
DK821,Computing in Software Development,320.0,,302.0,,347.0,,18.0,-45.0,-27.0,Increase,Decrease,Decrease
DK822,Augmented and Virtual Reality,320.0,,307.0,,,,13.0,,,Increase,Course Ran For One Year,Course Ran For One Year
DK830,Building Surveying,305.0,,336.0,,349.0,,-31.0,-13.0,-44.0,Decrease,Decrease,Decrease
DK831,Architectural Technology,368.0,,389.0,,366.0,,-21.0,23.0,2.0,Decrease,Increase,Increase
DK832,Construction Management,358.0,,387.0,,329.0,,-29.0,58.0,29.0,Decrease,Increase,Increase
DK843,Engineering (Common Entry),404.0,,340.0,,402.0,,64.0,-62.0,2.0,Increase,Decrease,Increase
DK844,Mechanical Engineering,336.0,,305.0,,,,31.0,,,Increase,Course Ran For One Year,Course Ran For One Year
DK845,Electrical and Electronic Engineering,331.0,,304.0,,,,27.0,,,Increase,Course Ran For One Year,Course Ran For One Year
DK846,Civil Engineering,371.0,,391.0,,,,-20.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
DK850,International Tourism Management,303.0,,317.0,,,,-14.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
DK860,Music (audition),,,532.0,,649.0,Test/Portfolio,,-117.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DK861,Arts,302.0,,302.0,,358.0,,0.0,-56.0,-56.0,No Change,Decrease,Decrease
DK862,Social Care,322.0,,301.0,,338.0,,21.0,-37.0,-16.0,Increase,Decrease,Decrease
DK863,Creative Media,336.0,,308.0,,376.0,,28.0,-68.0,-40.0,Increase,Decrease,Decrease
DK864,Film and Television Production,308.0,,300.0,,332.0,,8.0,-32.0,-24.0,Increase,Decrease,Decrease
DK865,Audio and Music Production,352.0,,301.0,,346.0,,51.0,-45.0,6.0,Increase,Decrease,Increase
DK870,General Nursing,440.0,Randomly Selected,403.0,,401.0,,37.0,2.0,39.0,Increase,Increase,Increase
DK872,Intellectual Disability Nursing,367.0,,336.0,,317.0,,31.0,19.0,50.0,Increase,Increase,Increase
DK874,Mental Health Nursing,398.0,,356.0,,378.0,,42.0,-22.0,20.0,Increase,Decrease,Increase
DK876,Early Childhood Studies,300.0,,321.0,,359.0,,-21.0,-38.0,-59.0,Decrease,Decrease,Decrease
DK877,Midwifery,482.0,,440.0,,441.0,Randomly Selected,42.0,-1.0,41.0,Increase,Decrease,Increase
DK880,Health and Physical Activity,301.0,,328.0,,367.0,,-27.0,-39.0,-66.0,Decrease,Decrease,Decrease
DK882,Agriculture (Award options),342.0,,310.0,,358.0,,32.0,-48.0,-16.0,Increase,Decrease,Decrease
DK883,Science (Award options),373.0,,358.0,,369.0,,15.0,-11.0,4.0,Increase,Decrease,Increase
DK884,Sustainable Agriculture,348.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DK885,Agri-Food Production,,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DK886,Biopharmaceutical Science,379.0,,301.0,,,,78.0,,,Increase,Course Ran For One Year,Course Ran For One Year
DK887,Environmental Science,377.0,,330.0,,,,47.0,,,Increase,Course Ran For One Year,Course Ran For One Year
DL821,"English, Media and Cultural Studies",,,212.0,,317.0,,,-105.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DL822,Arts Management,254.0,,229.0,,319.0,,25.0,-90.0,-65.0,Increase,Decrease,Decrease
DL823,Business Management,220.0,,235.0,,316.0,,-15.0,-81.0,-96.0,Decrease,Decrease,Decrease
DL825,Applied Psychology,418.0,,379.0,,413.0,,39.0,-34.0,5.0,Increase,Decrease,Increase
DL826,Graphic Design,591.0,Test/Portfolio,855.0,,989.0,Test/Portfolio,-264.0,-134.0,-398.0,Decrease,Decrease,Decrease
DL827,Art,574.0,Test/Portfolio,572.0,,902.0,Test/Portfolio,2.0,-330.0,-328.0,Increase,Decrease,Decrease
DL828,"3D Design, Modelmaking and Digital Art",,,506.0,,866.0,Test/Portfolio,,-360.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DL829,Design for Stage and Screen (Costume Design),,,593.0,,1021.0,Test/Portfolio,,-428.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DL830,Design for Stage and Screen (Character Makeup Design),,,939.0,,953.0,Test/Portfolio,,-14.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DL831,Design for Stage and Screen (Production Design),,,781.0,,1073.0,Test/Portfolio,,-292.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DL832,Animation,989.0,Test/Portfolio,920.0,,1055.0,Test/Portfolio,69.0,-135.0,-66.0,Increase,Decrease,Decrease
DL833,Photography and Visual Media,671.0,Test/Portfolio,650.0,,791.0,Test/Portfolio,21.0,-141.0,-120.0,Increase,Decrease,Decrease
DL834,Film and Television Production,,,990.0,,1011.0,Test/Portfolio,,-21.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DL835,Creative Media Technologies,,,,,289.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DL836,Creative Computing,235.0,,219.0,,326.0,,16.0,-107.0,-91.0,Increase,Decrease,Decrease
DL837,New Media Studies,298.0,,201.0,,349.0,,97.0,-148.0,-51.0,Increase,Decrease,Decrease
DL838,Creative Music Production,713.0,Test/Portfolio,754.0,,873.0,Test/Portfolio,-41.0,-119.0,-160.0,Decrease,Decrease,Decrease
DL839,Interaction and User Experience Design,757.0,Test/Portfolio,683.0,,,,74.0,,,Increase,Course Ran For One Year,Course Ran For One Year
DL840,Digital Marketing,210.0,,228.0,,,,-18.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
DL841,English and Equality Studies,277.0,,276.0,,,,1.0,,,Increase,Course Ran For One Year,Course Ran For One Year
DL843,Film,987.0,Test/Portfolio,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DL844,Television,566.0,Test/Portfolio,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DL845,Design for Film (degree options),628.0,Test/Portfolio,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DN100,Architecture,555.0,,510.0,,509.0,,45.0,1.0,46.0,Increase,Increase,Increase
DN120,Landscape Architecture,463.0,,407.0,,403.0,,56.0,4.0,60.0,Increase,Increase,Increase
DN130,City Planning and Environmental Policy,445.0,,407.0,,421.0,,38.0,-14.0,24.0,Increase,Decrease,Increase
DN150,Engineering (Common Entry),565.0,Randomly Selected,531.0,,554.0,,34.0,-23.0,11.0,Increase,Decrease,Increase
DN200,Science (options),577.0,,533.0,,554.0,,44.0,-21.0,23.0,Increase,Decrease,Increase
DN201,Computer Science (Common Entry),554.0,,510.0,,509.0,,44.0,1.0,45.0,Increase,Increase,Increase
DN230,Actuarial and Financial Studies,613.0,Randomly Selected,601.0,,589.0,,12.0,12.0,24.0,Increase,Increase,Increase
DN240,Sustainability,510.0,,440.0,,,,70.0,,,Increase,Course Ran For One Year,Course Ran For One Year
DN250,Agricultural Science (options),454.0,,456.0,,462.0,,-2.0,-6.0,-8.0,Decrease,Decrease,Decrease
DN252,Dairy Business,,,410.0,,428.0,,,-18.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DN253,Agri - Environmental Sciences,,,418.0,,419.0,,,-1.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DN261,Food Science,531.0,,477.0,,467.0,,54.0,10.0,64.0,Increase,Increase,Increase
DN262,Human Nutrition,566.0,,531.0,,510.0,,35.0,21.0,56.0,Increase,Increase,Increase
DN271,Forestry,,,311.0,,361.0,,,-50.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DN272,"Horticulture, Landscape and Sportsturf Management",,,297.0,,312.0,,,-15.0,,Course Ran For One Year,Decrease,Course Ran For One Year
DN300,Veterinary Medicine - Undergraduate Entry,601.0,Randomly Selected,589.0,,589.0,Test/Portfolio,12.0,0.0,12.0,Increase,No Change,Increase
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,,,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DN310,Veterinary Nursing,521.0,,478.0,,487.0,,43.0,-9.0,34.0,Increase,Decrease,Increase
DN400,Medicine - Undergraduate Entry (HPAT required),743.0,Randomly Selected,737.0,,745.0,Test/Portfolio,6.0,-8.0,-2.0,Increase,Decrease,Decrease
DN401,Medicine - Graduate Entry (GAMSAT required),61.0,Randomly Selected,,,61.0,Randomly Selected,,,0.0,Course Ran For One Year,Course Ran For One Year,No Change
DN410,Radiography,566.0,Randomly Selected,534.0,,522.0,,32.0,12.0,44.0,Increase,Increase,Increase
DN411,Radiography - Graduate Entry,,Test/Portfolio,,,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DN420,Physiotherapy,601.0,Randomly Selected,578.0,,555.0,,23.0,23.0,46.0,Increase,Increase,Increase
DN425,Health and Performance Science,544.0,,510.0,,509.0,,34.0,1.0,35.0,Increase,Increase,Increase
DN430,Sport and Exercise Management,484.0,,455.0,,455.0,,29.0,0.0,29.0,Increase,No Change,Increase
DN440,Biomedical  Health and Life Sciences,613.0,Randomly Selected,590.0,,579.0,Randomly Selected,23.0,11.0,34.0,Increase,Increase,Increase
DN450,General Nursing,462.0,Randomly Selected,429.0,,420.0,,33.0,9.0,42.0,Increase,Increase,Increase
DN451,Children`s and General Nursing (Integrated),533.0,,509.0,,499.0,Randomly Selected,24.0,10.0,34.0,Increase,Increase,Increase
DN452,Midwifery,510.0,,489.0,,452.0,,21.0,37.0,58.0,Increase,Increase,Increase
DN453,Mental Health Nursing,442.0,,397.0,,403.0,,45.0,-6.0,39.0,Increase,Decrease,Increase
DN520,Joint Honours (options),381.0,,310.0,,408.0,,71.0,-98.0,-27.0,Increase,Decrease,Decrease
DN530,Humanities (options),397.0,,340.0,,411.0,,57.0,-71.0,-14.0,Increase,Decrease,Decrease
DN541,Modern Languages (options),320.0,,303.0,,412.0,,17.0,-109.0,-92.0,Increase,Decrease,Decrease
DN600,Law (options),576.0,,546.0,,532.0,Randomly Selected,30.0,14.0,44.0,Increase,Increase,Increase
DN610,Business and Law,573.0,,545.0,,543.0,,28.0,2.0,30.0,Increase,Increase,Increase
DN650,Commerce,555.0,,521.0,,510.0,Randomly Selected,34.0,11.0,45.0,Increase,Increase,Increase
DN660,Commerce International (options),555.0,,517.0,,531.0,,38.0,-14.0,24.0,Increase,Decrease,Increase
DN670,Economics and Finance,625.0,Randomly Selected,613.0,,601.0,,12.0,12.0,24.0,Increase,Increase,Increase
DN700,Social Sciences (options),475.0,,421.0,,441.0,,54.0,-20.0,34.0,Increase,Decrease,Increase
DN710,Economics,534.0,,498.0,,488.0,,36.0,10.0,46.0,Increase,Increase,Increase
DN720,Psychology,566.0,,530.0,,531.0,,36.0,-1.0,35.0,Increase,Decrease,Increase
DN750,Social Policy and Sociology,421.0,,378.0,,366.0,,43.0,12.0,55.0,Increase,Increase,Increase
DT001,Product Design,,,,,464.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT028,Transport Operations and Technology,,,,,348.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT035,Electrical Services and Energy Management,,,,,340.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT066,Engineering (General Entry),,,,,457.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT101,Architecture (test and interview),,,,,647.0,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT106,Planning and Environmental Management,,,,,337.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT110,Property Economics (Valuation Surveying),,,,,424.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT111,Quantity Surveying and Construction Economics,,,,,421.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT112,Geographic Science,,,,,335.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT117,Construction Management,,,,,373.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT175,Architectural Technology,,,,,425.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT201,Science (General Entry),,,,,477.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),,,,,403.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT204,Biomedical Science,,,,,512.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT205,Mathematical Sciences,,,,,363.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT206,Biomedical and Molecular Diagnostics,,,,,487.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT211,Computer Science (Infrastructure),,,,,414.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT220,Industrial Mathematics,,,,,317.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT221,Physics with Energy and Environment,,,,,436.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT222,Physics Technology,,,,,371.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT223,Human Nutrition and Dietetics,,,,,566.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT224,Optometry,,,,,529.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT225,Public Health Nutrition,,,,,476.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT227,Science with Nanotechnology,,,,,361.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT228,Computer Science,,,,,466.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT229,Clinical Measurement Science,,,,,509.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT235,Physics with Medical Physics and Bioengineering,,,,,403.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT282,Computer Science (International),,,,,402.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT299,Chemical Sciences with Medicinal Chemistry,,,,,445.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT302,Business Analytics,,,,,403.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT304,E-Commerce in Retailing,,,,,388.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
