,code,title,pointsR1,pointsR2
0,801,      ,300.0,
1,802,      ,313.0,
2,803,       ,350.0,
3,805,    ,321.0,
4,810, ,328.0,
5,811, ,,
6,820,   ,327.0,
7,830, ,451.0,444.0
8,832,  ,440.0,431.0
9,835,,356.0,
10,836,   ,346.0,
11,837,    ,357.0,
12,838,,324.0,
13,839,,325.0,
14,840, ,346.0,
15,841,   ,477.0,476.0
16,842, ,338.0,
17,843,    ,306.0,
18,849, ,297.0,
19,850,,309.0,
20,851,  ,302.0,
21,852,,336.0,
22,854,  (  ),300.0,299.0
23,855,  (  ,309.0,
24,857, ,304.0,
25,859, ,308.0,
26,860,  ,301.0,
27,861,   (),575.0,
28,863,    (),747.0,
29,864,    ,306.0,
30,870, ,484.0,467.0
31,018, (),307.0,
32,028,    ,260.0,
33,038, (),700.0,
34,058,   ,292.0,
35,068,      ,250.0,
36,078,    ,270.0,
37,088,   ,270.0,
38,108, (),266.0,
39,128,  ,307.0,
40,138,   ,430.0,423.0
41,148,  ,388.0,
42,188,    ,451.0,
43,208,  ,272.0,
44,238, ,295.0,
45,248,  ,293.0,
46,258,   ,292.0,
47,268,      ,291.0,
48,438, (),260.0,251.0
49,468, ,291.0,283.0
50,478, ,465.0,
51,548, ,330.0,328.0
52,558, ,280.0,
53,568, ,371.0,359.0
54,578,   ,318.0,
55,708, - ,292.0,
56,728,  ,246.0,
57,748,    ,290.0,
58,758,   ,360.0,358.0
59,808,   ,247.0,
60,848,   ,269.0,
61,858,    (  ,700.0,
62,908, (),272.0,
63,938,  ,270.0,
64,948,,319.0,
65,405,     ,263.0,235.0
66,410,   (   ,262.0,230.0
67,411,   (   ,243.0,224.0
68,105,   ,443.0,
69,106, ,431.0,
70,108, ,434.0,
71,109, ,396.0,
72,110,    ,336.0,
73,112,       ,390.0,
74,116, ,365.0,
75,121,      ,904.0,904.0
76,125,       ,1028.0,
77,130,       ,525.0,
78,150,  ,350.0,
79,210,   (    ,450.0,
80,220,         ,400.0,
81,225,       ,435.0,
82,305,  ( ),260.0,
83,310, ,347.0,
84,320,  -      ,590.0,
85,325, ,466.0,
86,333,   ,425.0,
87,335,  ( ),473.0,
88,340,    ,327.0,
89,360, ,301.0,
90,365,    ,262.0,
91,370,-,368.0,
92,400,,315.0,
93,420,,290.0,
94,425,   ,279.0,
95,430,   ,402.0,
96,435,    ,410.0,
97,440, ,409.0,408.0
98,500, ( ),475.0,
99,510,  ,320.0,
100,520, ,444.0,
101,560, ,375.0,
102,565, ,431.0,
103,570, ,375.0,
104,572, ,300.0,
105,580, ,342.0,
106,590, ,329.0,
107,600,       ,280.0,
108,660, ,246.0,
109,700,         ,609.0,609.0
110,930,   ,518.0,
111,101, - 3 ,300.0,
112,102, ,434.0,431.0
113,104,   - 3  4  (  /,339.0,
114,105,    - 3   4  (,421.0,420.0
115,107,    - 3  4,312.0,
116,108,  - 4 ,440.0,440.0
117,109, - 3   4  ( ,367.0,357.0
118,110, ,488.0,
119,111,    ,409.0,403.0
120,112,    - 3  4 ,371.0,
121,113, - 3   4  ( ,464.0,463.0
122,114,  (   ),,
123,115,  -   ,,
124,118,    - 3  4  ( ,347.0,339.0
125,120, ,544.0,543.0
126,121,   - 3  4  ( ,499.0,488.0
127,122,   ,399.0,
128,123,,308.0,
129,124, - ,473.0,
130,125,    ,564.0,555.0
131,201,,500.0,499.0
132,202,,553.0,543.0
133,203,  ,455.0,452.0
134,204,,566.0,566.0
135,205, ()  ,465.0,
136,206, ()  ,466.0,455.0
137,207, ()  ,423.0,418.0
138,208, ()   ,488.0,486.0
139,209, ()  ,507.0,
140,211, ()   ,385.0,
141,212, (  ) 3 ,445.0,444.0
142,213,   ,466.0,
143,214, ,332.0,
144,301, () -  3  4 ,533.0,532.0
145,302,  ,545.0,
146,304,  ,588.0,
147,307,  ,589.0,589.0
148,401, ,503.0,495.0
149,402,   ,555.0,555.0
150,404,     ,500.0,495.0
151,405,,543.0,
152,406, ,532.0,
153,407, ,566.0,
154,408,  ,566.0,
155,409,  -      ,465.0,
156,411,   ,531.0,
157,412, ,506.0,
158,504, ,555.0,554.0
159,505, ,463.0,
160,600,,510.0,509.0
161,606, -      ,543.0,
162,701, (  -  ),738.0,737.0
163,702,,625.0,625.0
164,703,,613.0,613.0
165,704, ,601.0,
166,705,   ,568.0,566.0
167,706,  ,500.0,
168,707,   ,578.0,
169,710, ,498.0,497.0
170,712,`    (),565.0,
171,720,  ,455.0,452.0
172,730,  ,431.0,
173,740,,509.0,
174,791,  -   ( ),60.0,60.0
175,120, ,294.0,294.0
176,137, ,271.0,270.0
177,125,  ,242.0,242.0
178,325,,253.0,253.0
179,001, -  ,508.0,
180,002, -   -  ,462.0,
181,003, – ú í á  ,513.0,
182,004, - ú í á  ,480.0,
183,010, ,382.0,327.0
184,020,  ,317.0,
185,500,,234.0,234.0
186,501, ( ),,178.0
187,502, (    ),267.0,233.0
188,503, ( ),,
189,504, (   ),,
190,510,     ,217.0,217.0
191,512, ,243.0,210.0
192,514,  (),239.0,225.0
193,515,  (  ),242.0,217.0
194,517, ( ),233.0,225.0
195,518, ( ),307.0,209.0
196,521,  ,243.0,228.0
197,524, ( ),247.0,239.0
198,525, (    ),288.0,288.0
199,526, ( ),244.0,244.0
200,527,  ,254.0,219.0
201,531,,288.0,176.0
202,562,,244.0,233.0
203,566, ,262.0,228.0
204,567,   ,245.0,213.0
205,568,,254.0,228.0
206,569, (),240.0,240.0
207,001, -   ,445.0,
208,002, -  ,518.0,
209,003, -   -  ,489.0,
210,004, -   (   ,451.0,
211,009, ( ) - ,356.0,
212,010,    -  ,384.0,
213,011,    -  ,409.0,
214,012,    -  ,409.0,
215,013,    -   /,413.0,
216,014,       (,311.0,
217,110,  ,498.0,
218,111, ,511.0,
219,112,  (),542.0,
220,113,  (),484.0,
221,114,  (),544.0,
222,115,  ,544.0,
223,116,  (),613.0,
224,117,  /    ,484.0,
225,118,á   /   ,368.0,
226,119,  (),601.0,
227,120,  ,403.0,402.0
228,121, ,475.0,
229,123, ,501.0,
230,126, ,577.0,
231,127,      ,541.0,
232,131, ,421.0,
233,132,,452.0,
234,133,,435.0,
235,155,    ,427.0,
236,161, ,498.0,
237,162,   ,531.0,
238,163,    ( ,466.0,
239,166,   ,423.0,
240,168,   ,543.0,
241,175,   (),400.0,
242,180,    ( ,530.0,
243,181,,530.0,
244,190,    (  ,488.0,
245,193, ,490.0,
246,194,   ,476.0,
247,195,   ,500.0,
248,197, ,510.0,
249,200,    ( ,511.0,510.0
250,202,   ,511.0,
251,203, ,462.0,
252,204,   ,558.0,
253,205,   ,565.0,
254,206,   ,521.0,
255,207,  ,521.0,
256,208,,565.0,
257,209,  ,477.0,
258,210,   ,506.0,
259,215, ,456.0,
260,216,  ,420.0,
261,217,  ,382.0,
262,218,`    (),521.0,
263,230,    ,431.0,
264,231, ,398.0,
265,232,   (),469.0,
266,235,   -    ,302.0,
