code,title,points_r2_2021,points_r2_2021_info,points_r2_2020,points_r2_2020_info,points_r2_2019,points_r2_2019_info
CK213,Food Marketing and Entrepreneurship,,,,,,
CK214,International Development,,,,,,
CK301,Law (Pathways) -  3 or 4 years,532.0,,499.0,,519.0,
CK302,Law and French,,,,,531.0,
CK304,Law and Irish,,,,,510.0,
CK307,Law and Business,589.0,Randomly Selected,,,554.0,
CK401,Computer Science,495.0,,,,456.0,
CK402,Biological and Chemical Sciences,555.0,Randomly Selected,509.0,,520.0,
CK404,Biological  Earth and Environmental Sciences,495.0,,,,451.0,
CK405,Genetics,,,,,496.0,
CK406,Chemical Sciences,,,472.0,,488.0,
CK407,Mathematical Sciences,,,565.0,,578.0,
CK408,Physics and Astrophysics,,,542.0,,566.0,
CK409,Industrial Physics - Offered jointly by UCC and CI,,,,,532.0,
CK411,Data Science and Analytics,,,,,542.0,
CK412,Agricultural Science,,,496.0,,509.0,
CK502,Food Marketing and Entrepreneurship,,,,,456.0,
CK504,Nutritional Sciences,554.0,,,,509.0,
CK505,Food Science,,,440.0,,477.0,
CK506,International Development and Food Policy,,,,,410.0,
CK600,Engineering,509.0,,,,532.0,
CK606,Architecture - Offered jointly by UCC and CIT,,,476.0,,496.0,
CK701,Medicine (Undergraduate Entry - HPAT required),737.0,Test/Portfolio,,,740.0,Test/Portfolio
CK702,Dentistry,625.0,Randomly Selected,613.0,,613.0,
CK703,Pharmacy,613.0,Randomly Selected,589.0,,589.0,
CK704,Occupational Therapy,,Randomly Selected,555.0,,554.0,Randomly Selected
CK705,Speech and Language Therapy,566.0,,,,529.0,
CK706,Public Health Sciences,,,,,451.0,
CK707,Medical and Health Sciences,,Randomly Selected,541.0,,543.0,Randomly Selected
CK710,General Nursing,497.0,Randomly Selected,,,466.0,
CK712,Children`s and General Nursing (Integrated),,,,,520.0,
CK720,Mental Health Nursing,452.0,,,,429.0,
CK730,Intellectual Disability Nursing,,,411.0,,388.0,
CK740,Midwifery,,Randomly Selected,,,474.0,
CK791,Medicine  - Graduate Entry (GAMSAT required),60.0,Randomly Selected,,,59.0,Randomly Selected
CM001,Education - Primary Teaching,,,,,462.0,Randomly Selected
CM002,Education - Primary Teaching - Gaeltacht Applicant,,Test/Portfolio,,,440.0,Test/Portfolio
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,,Test/Portfolio,,,506.0,Test/Portfolio
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,,Test/Portfolio,,,569.0,Test/Portfolio
CM010,Education Studies,327.0,,,,373.0,
CM020,Early Childhood Education,,,,,363.0,
CR105,Chemical and Biopharmaceutical Engineering,,,,,498.0,
CR106,Software Development,,,,,393.0,
CR108,Mechanical Engineering,,,,,487.0,
CR109,Structural Engineering,,,,,467.0,
CR110,Automotive Business Management and Technology,,,,,347.0,
CR112,Creative Digital Media at CIT Crawford College of,,,,,389.0,
CR116,Computer Systems,,,,,381.0,
CR121,Music at CIT Cork School of Music,904.0,Test/Portfolio,,,1052.0,Test/Portfolio
CR125,Popular Music at CIT Cork School of Music,,Test/Portfolio,,,1021.0,Test/Portfolio
CR126,Popular Music: Drums at CIT Cork School of Music,,,,,1043.0,Test/Portfolio
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,,,768.0,,761.0,Test/Portfolio
CR128,Popular Music: Keyboards at CIT Cork School of Music,,,,,1009.0,Test/Portfolio
CR129,Popular Music: Voice at CIT Cork School of Music,,,,,927.0,Test/Portfolio
CR130,Musical Theatre at CIT Cork School of Music,,Test/Portfolio,518.0,,600.0,Test/Portfolio
CR150,Business Information Systems,,,,,371.0,
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,,Test/Portfolio,,Test/Portfolio,979.0,Test/Portfolio
CR220,Fine Art at CIT Crawford College of Art and Design,,Test/Portfolio,,Test/Portfolio,819.0,Test/Portfolio
CR225,Photography with New Media at CIT Crawford College,,Test/Portfolio,,Test/Portfolio,920.0,Test/Portfolio
CR305,Physical Sciences (Common Entry),,,,,309.0,
CR310,IT Management,,,,,317.0,
CR320,Biomedical Science - Offered jointly by CIT and UC,,Randomly Selected,,,556.0,
CR325,Pharmaceutical Biotechnology,,,,,422.0,
CR333,Nutrition and Health Science,,,,,393.0,
CR335,Biological Sciences (Common Entry),,,,,419.0,
CR340,Analytical Chemistry with Quality Assurance,,,,,315.0,
CR360,Instrument Engineering,,,,,329.0,
CR365,Environmental Science and Sustainable Technology,,,,,362.0,
CR370,Agri-Biosciences,,,,,431.0,
CR400,Accounting,,,,,389.0,
CR420,Marketing,,,,,329.0,
CR425,International Business with Language,,,,,392.0,
CR430,Sport and Exercise Management,,,,,,
CR435,Coaching Science and Sports Pedagogy,,,,,,
CR440,Montessori Education,408.0,,,,,
CR500,Engineering (Common Entry),,,,,424.0,
CR510,Sustainable Energy Engineering,,,,,343.0,
CR520,Biomedical Engineering,,,,,477.0,
CR560,Architectural Technology,,,,,332.0,
CR565,Interior Architecture,,,,,390.0,
CR570,Quantity Surveying,,,,,342.0,
CR572,Construction Management,,,,,300.0,
CR580,Electrical Engineering,,,,,374.0,
CR590,Electronic Engineering,,,,,411.0,
CR600,Visual Communications at CIT Crawford College of A,,Test/Portfolio,,Test/Portfolio,888.0,Test/Portfolio
CR660,Tourism Management,,,,,290.0,
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609.0,Test/Portfolio,645.0,,906.0,Test/Portfolio
CR930,Home Economics and Business,,Randomly Selected,,,,
CT125,Computing and IT,242.0,,,,280.0,
CT325,Business,253.0,,,,,
CW018,Business (options),,,248.0,,349.0,
CW028,Early Childhood Education and Care,,,,,308.0,
CW038,Art (portfolio),,Test/Portfolio,,,700.0,Test/Portfolio
CW058,Tourism and Event Management,,,,,262.0,
CW068,Applied Social Studies in Professional Social Care,,,,,280.0,
CW078,Sustainable Farm Management and Agribusiness,,,,,320.0,
CW088,Visual Communications and Design,,,,,345.0,
CW108,Science (options),,,,,326.0,
CW128,Brewing and Distilling,,,,,298.0,
CW138,Sport and Exercise Science,423.0,,,,,
CW148,Strength and Conditioning,,,,,,
CW178,Sport Science (options),,,,,424.0,
CW188,Sport Rehabilitation and Athletic Therapy,,,448.0,,473.0,
CW208,Computer Games Development,,,,,338.0,
CW238,Software Development,,,,,343.0,
CW248,Information Technology Management,,,,,357.0,
CW258,Cybercrime and IT Security,,,,,328.0,
CW268,Computing in Interactive Digital Art and Design,,,,,321.0,
CW438,Construction (options),251.0,,,,308.0,
CW468,Architectural Technology,283.0,,,,290.0,
CW478,Civil Engineering,,,,,383.0,
CW548,Mechanical Engineering,328.0,,,,351.0,
CW558,Electronic Systems,,,,,338.0,
CW568,Aerospace Engineering,359.0,,,,422.0,
CW578,TV and Media Production,,,,,361.0,
CW708,Law - LLB,,,,,328.0,
CW728,Product Design Innovation,,,,,355.0,
CW748,Early Childhood Education and Care,,,,,338.0,
CW758,Professional Social Care Practice,358.0,,,,319.0,
CW808,Media and Public Relations,,,,,307.0,
CW848,Digital Marketing with Analytics,,,,,307.0,
CW858,Sports Management and Coaching (options  portfolio,,Test/Portfolio,,,700.0,Test/Portfolio
CW908,Business (options),,,,,307.0,
CW938,Business with Law,,,,,288.0,
CW948,Accounting,,,,,408.0,
DB500,Computing,234.0,,218.0,,320.0,
DB501,Computing (Cloud Computing),178.0,,227.0,,329.0,
DB502,Computing (Data Analytics and Big Data),233.0,,341.0,,269.0,
DB503,Computing (Software Development),,,225.0,,282.0,
DB504,Computing (Web and Mobile Technology),,,281.0,,269.0,
DB510,Audio Production and Music Project Management,217.0,,223.0,,293.0,
DB512,Business Studies,210.0,,203.0,,301.0,
DB514,Business Studies (Law),225.0,,,,337.0,
DB515,Business Studies (Human Resource Management),217.0,,244.0,,288.0,
DB516,Financial Services,,,,,336.0,
DB517,Marketing (Event Management),225.0,,,,327.0,
DB518,Marketing (Digital Media),209.0,,,,289.0,
DB521,Accounting and Finance,228.0,,195.0,,271.0,
DB524,Business (Information Systems),239.0,,309.0,,402.0,
DB525,Marketing (Digital Media and Cloud Computing),288.0,,,,309.0,
DB526,Business (Cloud Computing),244.0,,,,288.0,
DB527,Applied Social Care,219.0,,260.0,,288.0,
DB531,Marketing,176.0,,,,288.0,
DB562,Psychology,233.0,,229.0,,310.0,
DB566,Social Science,228.0,,227.0,,308.0,
DB567,Film and Creative Media,213.0,,202.0,,295.0,
DB568,Law,228.0,,252.0,,308.0,
DB569,Business (Psychology),240.0,,,,338.0,
DC001,Education - Early Childhood Education,,,,,424.0,
DC002,Education - Primary Teaching,,Randomly Selected,,,485.0,Randomly Selected
DC003,Education - Primary Teaching - Gaeltacht Applicant,,Test/Portfolio,,,473.0,Test/Portfolio
DC004,Education - Primary Teaching (Church of Ireland Ce,,Test/Portfolio,409.0,,,Test/Portfolio
DC005,Education - Primary Teaching - Irish Sign Language,,,,,316.0,Test/Portfolio
DC009,Arts (Joint Honours) - Humanities,,,,,408.0,
DC010,Post Primary Teacher Education - Religious Educati,,,429.0,,413.0,
DC011,Post Primary Teacher Education - Religious Educati,,,391.0,,389.0,
DC012,Post Primary Teacher Education - Religious Educati,,,,,415.0,Test/Portfolio
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,,,,,509.0,
DC014,BA in Jazz and Contemporary Music Performance (aud,,Test/Portfolio,,,590.0,Test/Portfolio
DC110,Business Studies International,,,,,462.0,
DC111,Business Studies,,,,,479.0,
DC112,Global Business (France),,Randomly Selected,510.0,,510.0,
DC113,Global Business (Germany),,,,,476.0,
DC114,Global Business (Spain),,,,,543.0,
DC115,Accounting and Finance,,,,,500.0,
DC116,Global Business (USA),,Randomly Selected,,,589.0,
DC117,Aviation Management / Aviation Management with Pil,,,475.0,,487.0,
DC118,Gná agus Gaeilge / Business and Irish,,,,,399.0,
DC119,Global Business (Canada),,,,,577.0,
DC120,Computing for Business,402.0,,,,389.0,
DC121,Computer Science,,,,,418.0,
DC123,Data Science,,,,,511.0,
DC126,Actuarial Mathematics,,Randomly Selected,,,543.0,
DC127,Common Entry into Actuarial and Financial Mathemat,,,520.0,,531.0,
DC131,Communication Studies,,,402.0,,441.0,
DC132,Journalism,,,422.0,,440.0,
DC133,Multimedia,,,410.0,,451.0,
DC155,Applied Language and Translation Studies,,,,,430.0,
DC161,Analytical Science,,,489.0,,463.0,
DC162,Chemical and Pharmaceutical Sciences,,Randomly Selected,,,498.0,
DC163,Chemical Sciences General Entry (Undenominated Ent,,Randomly Selected,,,,
DC166,Environmental Science and Technology,,Randomly Selected,399.0,,442.0,
DC167,Physics with Astronomy,,,,,477.0,
DC168,Genetics and Cell Biology,,Randomly Selected,510.0,,500.0,
DC171,Applied Physics,,,,,433.0,
DC173,Physics with Biomedical Sciences,,,,,458.0,
DC175,Physics General Entry (options),,,402.0,,,
DC180,Biological Sciences General Entry (Undenominated E,,,,,,
DC181,Biotechnology,,,495.0,,488.0,
DC190,Electronic and Computer Engineering (with choice o,,,,,433.0,
DC193,Mechatronic Engineering,,,,,445.0,
DC194,Sustainable Systems and Energy,,,,,,
DC195,Mechanical and Manufacturing Engineering,,,,,444.0,
DC197,Biomedical Engineering,,,,,446.0,
DC200,Common Entry into Engineering (Undenominated Entry,510.0,,,,444.0,
DC201,Common Entry into Science (Undenominated Entry),,,488.0,,477.0,
DC202,Sport Science and Health,,,498.0,,476.0,
DC203,Science Education,,,,,476.0,
DC204,Athletic Therapy and Training,,,519.0,,500.0,
DC205,Physical Education with Biology,,,,,521.0,
DC206,Physical Education with Mathematics,,,,,476.0,
DC207,Psychology and Mathematics,,,,,,
DC208,Psychology,,,521.0,,521.0,
DC209,Health and Society,,,440.0,,440.0,
DC210,Psychology and Disruptive Technologies,,,,,,
DC215,General Nursing,,Randomly Selected,433.0,,443.0,
DC216,Mental Health Nursing,,,403.0,,389.0,
DC217,Intellectual Disability Nursing,,,,,362.0,
DC218,Children`s and General Nursing (Integrated),,Randomly Selected,498.0,,480.0,
DC230,Economics  Politics and Law,,,,,431.0,
DC231,International Relations,,,,,445.0,
DC232,Law and Society (BCL),,,,,487.0,
DC235,Education and Training - Daytime and Flexible Deli,,,,,327.0,
DC238,Social Sciences and Cultural Innovation,,,,,388.0,
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,,,,
DC240,Marketing  Innovation and Technology,,,474.0,,474.0,
DC241,Digital Business and Innovation,,,,,,
DC291,Arts (Joint Honours) - Media Studies,,,,,392.0,
DC292,Arts (Joint Honours) - Law,,,,,388.0,
DC293,Arts (Joint Honours) - International Languages,,,,,400.0,
DC294,Climate and Environmental Sustainability,,,,,,
